Data,Programa,Episódio,Media
15/04/2026,Gata Selvagem ,Capítulo 170,6367086391112
16/04/2026,Gata Selvagem ,Capítulo 171,6367086684112
17/04/2026,Gata Selvagem ,Capítulo 172,6367087071112
18/04/2026,Gata Selvagem ,Capítulo 167,6367085722112
18/04/2026,Gata Selvagem ,Capítulo 169,6367086393112
18/04/2026,Gata Selvagem ,Capítulo 168,6367085617112
20/04/2026,Gata Selvagem ,Capítulo 173,6367085910112
21/04/2026,Gata Selvagem ,Capítulo 174,6367086488112
22/04/2026,Gata Selvagem ,Capítulo 175,6367085837112
23/04/2026,Gata Selvagem ,Capítulo 176,6367085540112
24/04/2026,Gata Selvagem ,Capítulo 177,6367086104112
27/04/2026,Gata Selvagem ,Capítulo 178,Gata Selvagem_CAP178
28/04/2026,Gata Selvagem ,Capítulo 179,6367085439112
29/04/2026,Gata Selvagem ,Capítulo 180,6367085227112
30/04/2026,Gata Selvagem ,Capítulo 181,6367085999112
01/05/2026,Gata Selvagem ,Capítulo 182,6367085998112
04/05/2026,Gata Selvagem ,Capítulo 183,6367086580112
05/05/2026,Gata Selvagem ,Capítulo 184,6367086193112
06/05/2026,Gata Selvagem ,Capítulo 185,6367086294112
07/05/2026,Gata Selvagem ,Capítulo 186,6367085724112
08/05/2026,Gata Selvagem ,Capítulo 187,6367086194112
11/05/2026,Gata Selvagem ,Capítulo 188,6367087070112
12/05/2026,Gata Selvagem ,Capítulo 189,6367085536112
13/05/2026,Gata Selvagem ,Capítulo 190,6367086389112
14/05/2026,Gata Selvagem ,Capítulo 191,6367085616112
15/05/2026,Gata Selvagem ,Capítulo 192,6367085321112
18/05/2026,Gata Selvagem ,Capítulo 193,6367085225112
19/05/2026,Gata Selvagem ,Capítulo 195,6367085720112
19/05/2026,Gata Selvagem ,Capítulo 194,6367084739112
20/05/2026,Gata Selvagem ,Capítulo 197,6367085997112
20/05/2026,Gata Selvagem ,Capítulo 196,6367085721112
21/05/2026,Gata Selvagem ,Capítulo 199,6367085719112
21/05/2026,Gata Selvagem ,Capítulo 198,6367086387112
22/05/2026,Gata Selvagem ,Capítulo 201,6367086732112
22/05/2026,Gata Selvagem ,Capítulo 200,6367086103112
25/05/2026,Gata Selvagem ,Capítulo 202,6367088278112
25/05/2026,Gata Selvagem ,Capítulo 203,6367087135112
26/05/2026,Gata Selvagem ,Capítulo 204,6367087990112
26/05/2026,Gata Selvagem ,Capítulo 205,6367086730112
27/05/2026,Gata Selvagem ,Capítulo 206,6367087313112
27/05/2026,Gata Selvagem ,Capítulo 207,6367087515112
28/05/2026,Gata Selvagem ,Capítulo 208,6367087713112
28/05/2026,Gata Selvagem ,Capítulo 209,6367087790112
29/05/2026,Gata Selvagem ,Capítulo 210,6367086729112
29/05/2026,Gata Selvagem ,Capítulo 211,6367086628112
