Data,Programa,Episódio,Media
04/05/2026,Coração Traído,Capítulo 1,956fdbd7-5c18-475d-a215-cf49c39164f1
05/05/2026,Coração Traído,Capítulo 2,fdf81f5b-113b-471d-b704-f7169dc735ec
06/05/2026,Coração Traído,Capítulo 3,3832f460-c794-4c4a-a9c3-8536610458e3
07/05/2026,Coração Traído,Capítulo 4,047889cf-2422-45c1-a787-f25439d54414
08/05/2026,Coração Traído,Capítulo 5,d0a1a823-80d5-4942-8b1e-c037bf695968
11/05/2026,Coração Traído,Capítulo 6,49cf465c-6d8f-41ca-9355-476cb125e86f
12/05/2026,Coração Traído,Capítulo 7,61811d0e-eac4-4c31-8b73-6d29c92e8010
13/05/2026,Coração Traído,Capítulo 8,335564bf-bd87-485f-a464-2dd75afbef93
14/05/2026,Coração Traído,Capítulo 9,60525150-0f34-4482-a85d-9f2638782c6f
15/05/2026,Coração Traído,Capítulo 10,237da9f4-b334-43f8-a0e9-828fd2306af1
18/05/2026,Coração Traído,Capítulo 11,06cc5da4-a43f-47f6-a6dd-3eb47302c4d2
19/05/2026,Coração Traído,Capítulo 12,832fa6ac-880b-43ec-bb76-3e209a405c33
20/05/2026,Coração Traído,Capítulo 13,2c3b390d-d59d-46c0-9e72-45f888e4156b
21/05/2026,Coração Traído,Capítulo 14,a833c458-6993-4c01-826b-d7ee2942936c
22/05/2026,Coração Traído,Capítulo 15,5ed634ca-55c5-4ec6-af19-912203336b93
25/05/2026,Coração Traído,Capítulo 16,c0a3b246-00ed-4005-9322-f7f0791e68a4
26/05/2026,Coração Traído,Capítulo 17,950b13d8-e37d-4672-b104-b0a53bfbc830
27/05/2026,Coração Traído,Capítulo 18,fa34ecbd-efa7-4803-a76d-bf341eabda99
28/05/2026,Coração Traído,Capítulo 19,96171add-7869-49c5-9e08-0d08393f2c7d
29/05/2026,Coração Traído,Capítulo 20,88591bd1-38a3-43d7-9f96-f0c5e5669341
01/06/2026,Coração Traído,Capítulo 21,fd27d7a4-8d62-48ef-a7bd-f52adb7a50b7
02/06/2026,Coração Traído,Capítulo 22,5e3fd6fa-0e48-4f0f-81f2-df354259cc4b
03/06/2026,Coração Traído,Capítulo 23,25bc14c0-9be1-4a1a-8c25-048144651a35
04/06/2026,Coração Traído,Capítulo 24,21204aca-e07d-4865-9f40-f7e890597e2c
05/06/2026,Coração Traído,Capítulo 25,c92d60d5-e822-4a16-90da-918be756d8ae
08/06/2026,Coração Traído,Capítulo 26,019274a5-a004-42ff-b774-4fe9670f6e92
09/06/2026,Coração Traído,Capítulo 27,a4b7aa4e-e6cc-4a57-853a-4138011bdc67
10/06/2026,Coração Traído,Capítulo 28,faf06316-cae8-493c-a92a-56b00dc7d527
11/06/2026,Coração Traído,Capítulo 29,6c62c45e-ad27-4c64-bb11-d65c0d3a8234
12/06/2026,Coração Traído,Capítulo 30,44d73663-7ad8-4ba7-97d0-5412024f6394
15/06/2026,Coração Traído,Capítulo 31,99316cfd-b283-48d8-ad71-d12e5cb66bc3
16/06/2026,Coração Traído,Capítulo 32,020a8546-75c6-4553-80bb-61f365077195
17/06/2026,Coração Traído,Capítulo 33,df363777-43a8-4c63-920d-49cb303af8ab
18/06/2026,Coração Traído,Capítulo 34,33010f42-f2e8-4b55-8161-e1b8e530cdfa
19/06/2026,Coração Traído,Capítulo 35,215d01e8-510c-45a6-9f9e-0ea204ce28f8
22/06/2026,Coração Traído,Capítulo 36,ed228319-4fc4-4ef5-81e5-74c78c5e32e3
23/06/2026,Coração Traído,Capítulo 37,23e11830-78d8-4832-ad8b-d8442f828cd3
24/06/2026,Coração Traído,Capítulo 38,f304f635-4f67-4d37-b097-b2e34dbad6ea
25/06/2026,Coração Traído,Capítulo 39,f8fdae84-db3e-43ec-95e9-7cacb351ebf9
