Data,Programa,Episódio,Media
04/05/2026,Rebelde Temporada 1,Capítulo 1,6352181512112
05/05/2026,Rebelde Temporada 1,Capítulo 2,6352181998112
06/05/2026,Rebelde Temporada 1,Capítulo 3,6352181707112
07/05/2026,Rebelde Temporada 1,Capítulo 4,6352180627112
08/05/2026,Rebelde Temporada 1,Capítulo 5,6352181902112
11/05/2026,Rebelde Temporada 1,Capítulo 6,6352179637112
12/05/2026,Rebelde Temporada 1,Capítulo 7,6352181516112
13/05/2026,Rebelde Temporada 1,Capítulo 8,6352180243112
14/05/2026,Rebelde Temporada 1,Capítulo 9,6352181903112
15/05/2026,Rebelde Temporada 1,Capítulo 10,6352180730112
18/05/2026,Rebelde Temporada 1,Capítulo 11,6352181513112
19/05/2026,Rebelde Temporada 1,Capítulo 12,6352179832112
20/05/2026,Rebelde Temporada 1,Capítulo 13,6352180928112
21/05/2026,Rebelde Temporada 1,Capítulo 14,6352181515112
22/05/2026,Rebelde Temporada 1,Capítulo 15,6352180825112
25/05/2026,Rebelde Temporada 1,Capítulo 16,6352180826112
26/05/2026,Rebelde Temporada 1,Capítulo 17,6352179831112
27/05/2026,Rebelde Temporada 1,Capítulo 18,6352179354112
28/05/2026,Rebelde Temporada 1,Capítulo 19,6352179558112
28/05/2026,Rebelde Temporada 1,Capítulo 19,6352179558112
29/05/2026,Rebelde Temporada 1,Capítulo 20,6352181117112
29/05/2026,Rebelde Temporada 1,Capítulo 20,6352181117112
30/05/2026,Rebelde Temporada 1,Capítulo 16,6352180826112
30/05/2026,Rebelde Temporada 1,Capítulo 17,6352179831112
30/05/2026,Rebelde Temporada 1,Capítulo 18,6352179354112
01/06/2026,Rebelde Temporada 1,Capítulo 21,6352054253112
02/06/2026,Rebelde Temporada 1,Capítulo 22,6352052195112
03/06/2026,Rebelde Temporada 1,Capítulo 23,6352051884112
